,UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Candidate
0,Julián Uscátegui P,@JulUscategui,2021-10-28T00:53:48.000Z,"#Ahora realizamos recorrido de seguridad en Santa Monica, sector Toberin, localidad de #Usaquén. 

Junto 
@PoliciaBogota
, 
@Uaesp
, 
@SeguridadBOG
, 
@SectorMovilidad
 revisamos condiciones del sector. 

Importantes compromisos: instalación de luminarias y recuperación espacio público.",6,17,52,Uribe
1,Julián Uscátegui P,@JulUscategui,2021-10-23T02:23:07.000Z,"Hoy, en caravana de moteros junto a 
@jjUscategui
, rendimos homenaje a los héroes de nuestra Fuerza Pública asesinados este año. 

Que el rugido de estas motos sirva de llamado para que cese todo acto de violencia contra nuestros militares y policías. 

¡No están solos!",7,74,225,Uribe
2,Álvaro Uribe Vélez,@AlvaroUribeVel,2021-10-22T21:03:55.000Z,"Acuerdo La Habana obliga al PENIS (Sustitución droga);

Cada familia recibe 35 mill en 5 años. Total 100 mil flias y 3,5 bill.

Resultado, crecen cultivos.

Denunciar y reformar: condicionar a que por esfuerzo colectivo no haya droga en el entorno.",84,431,807,Uribe
3,Diana Diago,@dianadiago,2021-10-19T16:41:29.000Z,"El POT una mentira más de Claudia López. 

La meta es generar cerca de 171 hectáreas de espacio público, pero ¿cómo lo hará? sí habilita más de 6.900 hectáreas para la renovación urbana. 

Entre más aumenta la densidad, menos espacio público habrá.
#PilasConElPOT",9,47,68,Uribe
4,Juan David Vélez - CD 401 Cámara Exterior,@JuanDaVelez,2021-08-16T16:11:24.000Z,"#UribeConLaVerdad - Sobre el Caso de Cajamarca: “El Ministerio de Defensa va a apersonarse de los legítimos intereses de todas estas personas llenas de dolor” 
@AlvaroUribeVel
 el 12 de abril de 2004",3,37,87,Uribe
5,Julián Uscátegui P,@JulUscategui,2021-08-13T16:44:03.000Z,"#Ahora en comisión de ambiente y hábitat de la JAL de #Usaquén, escuchamos al Representante Juan Carlos Lozada sobre la ley 2111 del 29 de Julio de 2021, respecto a delitos contra la recursos naturales y el Medio Ambiente. 
@JesusDAraqueM
 @nicolasedil81",,6,20,Uribe
6,Milla Romero Soto #CD3,@millaromerosoto,2021-07-27T15:02:42.000Z,"#QueSeAcabeLaInfamia, ni regalando todas las fincas de Colombia podrán convencer a los colombianos, y ensuciar la honorabilidad de 
@AlvaroUribeVel",18,316,557,Uribe
7,Legado de Álvaro Uribe Vélez,@LegadoUribeVel,2021-07-27T12:13:58.000Z,"Hoy se se reanuda la audiencia del proceso en contra del presidente 
@AlvaroUribeVel
 

Los invitamos a utilizar el #QueSeAcabeLaInfamia",12,75,155,Uribe
8,Nubia Stella Martínez,@NubiaSMartinez,2021-07-27T14:11:52.000Z,"Para recordar: ""A Monsalve le dieron plata la familia, a Monsalve le regalaron una finca. Yo conozco gente pudiente y lo que sea, pero jamás me han regalado una finca"": Pardo Hasche sobre la finca de la familia de Monsalve. 
#QueSeAcabeLaInfamia",20,185,254,Uribe
9,Nicolás Pérez Vásquez,@nperezvasquez,2021-07-27T14:51:45.000Z,"#QueSeAcabeLaInfamia contra 
@alvarouribevel
 el hombre que ha librado una batalla para proteger nuestra democracia.",45,127,360,Uribe
10,Nubia Stella Martínez,@NubiaSMartinez,2021-07-27T14:49:42.000Z,"Cuando 
@AlvaroUribeVel
 llegó a la presidencia,416 alcaldes,700 concejales,200 jueces, y más de 2,000 funcionarios municipales estaban en exilio o en capitales. El hombre que arrinconó al terrorismo hoy enfrenta un proceso injusto 
#QueSeAcabeLaInfamia",31,231,422,Uribe
11,Ruby Chagüi,@Rubychagui,2021-07-27T13:51:29.000Z,"La honestidad y trabajo transparente siempre han caracterizado al presidente 
@AlvaroUribeVel
. Confiamos en que hoy se terminen las mentiras, manipulaciones y tergiversaciones que solo han buscado dañar su legado y buen nombre. #QueSeAcabeLaInfamia",30,229,473,Uribe
12,Margarita R. CD,@MargaritaRepo,2021-07-27T13:41:01.000Z,"Ninguna validez tiene un testimonio de un mitómano que miente sin pudor, para buscar beneficios jurídicos y económicos. Juan Guillermo Monsalve vive como un rey, solo hablar mal del presidente Uribe, a quien no conoce.  #QueSeAcabeLaInfamia",28,227,385,Uribe
13,Jaime Arizabaleta,@jarizabaletaf,2021-07-27T12:03:41.000Z,"Coronell que ha sido un privilegiado por la Corte Suprema con las filtraciones ahora da RT a un trino tan bajo. 
Lo que está es ardido porque cuando Vicky Dávila expuso el expediente completo, lo dejó sin trabajo. 

Por esta clase de perseguidores decimos #QueSeAcabeLaInfamia",42,341,511,Uribe
14,Jaime Arizabaleta,@jarizabaletaf,2021-07-27T12:56:08.000Z,"Al parecer han decidido censurar #QueSeAcabeLaInfamia no importa, sigamos paso a paso a esta audiencia. Dios con 
@AlvaroUribeVel",97,979,"1,8 mil",Uribe
15,Carlos Felipe Mejía,@CARLOSFMEJIA,2021-07-27T13:05:36.000Z,"El favorecimiento de 'don Iván' a #MonsalveMentiroso es evidente y reiterativa. En diligencia con la magistrada auxiliar Sandra Yepes, este criminal dice que 'don Iván' le colaboró para que no lo trasladaran a la cárcel de Valledupar.Qué más debe pasar para #QueSeAcabeLaInfamia ?",42,494,652,Uribe
16,Ani Abello,@ANIABELLO_R,2021-07-27T14:27:42.000Z,"Aún no entendemos cómo la CSJ no tuvo en cuenta y ni siquiera se molestó en investigar a fondo la relación cercana entre Monsalve y Don Iván. 
#QueSeAcabeLaInfamia contra 
@AlvaroUribeVel
 y el pueblo colombiano.",84,1 mil,"1,3 mil",Uribe
17,Jaime Arizabaleta,@jarizabaletaf,2021-07-27T11:53:42.000Z,"Esto que les están haciendo a Uribe es la confirmación clara, que aquello que no pudieron hacer en las urnas, pretenden lograrlo en los estrados judiciales. 

Esa gente lo que quiere es montar el socialismo en el 2022, por favor RT masivo a  #QueSeAcabeLaInfamia",151,"1,7 mil","2,3 mil",Uribe
18,Jaime Arizabaleta,@jarizabaletaf,2021-07-27T13:26:19.000Z,"Hilo #QueSeAcabeLaInfamia

No creo que alguien más en este país haya sido vulnerado en sus derechos de una manera tan descarada, como ha ocurrido con el Presidente de Colombia entre los años 2002-2010. (Sigue)",57,658,904,Uribe
19,Laura Medina Ruiz,@LauraMedinaRuiz,2021-07-27T12:10:23.000Z,"Buenos días amigos uribistas hoy vamos con #QueSeAcabeLaInfamia seguimos firmes, evidenciando la infamia y respaldando siempre a nuestro presidente 
@AlvaroUribeVel
 ",82,519,1 mil,Uribe
20,Legado de Álvaro Uribe Vélez,@LegadoUribeVel,2021-07-27T14:11:31.000Z,"Para recordar: ""A Monsalve le dieron plata la familia, a Monsalve le regalaron una finca. Yo conozco gente pudiente y lo que sea, pero jamás me han regalado una finca"": Pardo Hasche sobre la finca de la familia de Monsalve. 
#QueSeAcabeLaInfamia",11,127,181,Uribe
21,Legado de Álvaro Uribe Vélez,@LegadoUribeVel,2021-07-27T14:28:03.000Z,"Pardo Hasche, compañero de prisión de Juan Guillermo Monsalve:
""Monsalve puso el autoparlante y se escuchó a Cepeda decir: No se preocupe Juan, yo le freno su traslado""
¿A cambio de qué?
#QueSeAcabeLaInfamia",7,114,137,Uribe
22,Legado de Álvaro Uribe Vélez,@LegadoUribeVel,2021-07-27T14:11:39.000Z,"Dato: El magistrado Barceló dice que no sabe por qué terminaron interceptando el teléfono del presidente Álvaro Uribe pero que no fue un error.
#QueSeAcabeLaInfamia",14,113,122,Uribe
23,Margarita R. CD,@MargaritaRepo,2021-07-27T13:33:52.000Z,"No perdamos la fe. 

Toda Colombia hoy pide #QueSeAcabeLaInfamia y que el nombre del presidente Uribe quede libre de culpa, como siempre ha sido. Hoy más que nunca declaramos el respeto y la admiración hacia EL GRAN COLOMBIANO. ",62,207,339,Uribe
24,Legado de Álvaro Uribe Vélez,@LegadoUribeVel,2021-07-27T13:34:44.000Z,"#QueSeAcabeLaInfamia 
Según Enrique Pardo Hasche, Juan Guillermo Monsalve estaba arrepentido y quería retractarse sobre las declaraciones en contra de 
@AlvaroUribeVel
  
Dijo Enrique Pardo que Monsalve hacía parte de una especie de cartel de falsos testigos.",4,37,73,Uribe
25,Julian Felipe Reina Parrado,@Julian_F_Reina,2021-07-13T13:16:34.000Z,#TrabajoOBloqueos,,4,11,Uribe
26,Julian Felipe Reina Parrado,@Julian_F_Reina,2021-07-13T13:15:41.000Z,#TrabajoOBloqueos,1,3,8,Uribe
27,UNICD Bogotá D.C.,@UNICDBogota,2021-07-13T13:37:53.000Z,"Tras un año de crisis sanitaria y económica, nuestro país merece una reactivación económica. No podemos permitir que quienes pretenden destruir nuestros empresarios y ciudades, lo logren #TrabajoOBloqueos #TrabajoOBloqueos",1,14,37,Uribe
28,Julian Felipe Reina Parrado,@Julian_F_Reina,2021-07-13T13:16:58.000Z,#TrabajoOBloqueos,2,7,10,Uribe
29,dona_pily,@Dona_Pily2,2021-07-13T13:15:49.000Z,". #TrabajoOBloqueos
¿Usted de qué lado está?",28,29,86,Uribe
30,Julian Felipe Reina Parrado,@Julian_F_Reina,2021-07-13T13:18:08.000Z,#TrabajoOBloqueos,,4,11,Uribe
31,Julian Felipe Reina Parrado,@Julian_F_Reina,2021-07-13T13:18:27.000Z,#TrabajoOBloqueos,1,10,13,Uribe
32,Alejandro Pacheco,@Alejo_Pachecog,2021-07-13T12:47:56.000Z,"Poseemos dos opciones:
Podemos ponernos la falsa máscara de la empatía mientras se bloquea una vía dejando morir bebés, animales y desabastecimiento una población. Por otro lado, podemos aportar al trabajo, respetar la propiedad privada y construir Colombia #TrabajoOBloqueos",2,5,8,Uribe
33,Maria Camila Pinzón Edil de Teusaquillo,@MaCamila_Pinzon,2021-07-13T13:31:41.000Z,"76 días Colombianos, aguantando un golpe a la economía del país, bajo la figura del paro Nacional que nadie representa, descontrol en las calles es lo que vemos, gritos de auxilio ante la situación de hambre y de desidia
Se volteó el sentido real de la protesta 
#trabajoobloqueos",11,43,104,Uribe
34,Juan Manuel,@JuanMa14CD,2021-07-13T13:54:15.000Z,"Otro mes de paro no le conviene a Colombia. Lo q necesitamos es producir. Necesitamos trabajar, necesitamos cambios pero sin violencia. Sin bloqueos 

#trabajoobloqueos",1,21,30,Uribe
35,Nicolás Goyeneche V,@NGoyenecheV,2021-07-13T13:59:37.000Z,"La decision es simple #TrabajoOBloqueos, se trata de escoger entre Desarrollo y desabastecimiento, entre Libertad o miseria.",6,46,95,Uribe
36,Legado de Álvaro Uribe Vélez,@LegadoUribeVel,2021-07-12T00:02:34.000Z,"#LaOtraCaraDeLaMoneda 

Capítulo 3: Acuerdos de la Habana

El presidente Álvaro Uribe Vélez contesta preguntas y mitos de los jóvenes de la Universidad Javeriana en Cali sobre los Acuerdos de la Habana con las Farc.",3,37,72,Uribe
37,Juan Nicolás Vizcaya Molina,@JuanNicolasVizc,2021-06-15T01:01:18.000Z,"Logros de la Seguridad Democrática por el pdte Uribe: 

- Operación Jaque: rescate de 15 secuestrados sin un solo disparo.
- Operación Fénix, baja del narcoterrorista Raúl Reyes. 
- Desmovilización de 53.664 bandidos. 

Santos solo puso la cara para la foto. #LaVerdadDeUribe",21,234,502,Uribe
38,Papo Amin,@papoaminCD,2021-06-15T01:43:04.000Z,".
@JuanManSantos
 le pidió a 
@AlvaroUribeVel
 que lo nombrara ministro, se adjudicó logros de la seguridad democrática, se hizo elegir presidente con ese discurso, hizo todos los cálculos políticos para luego traicionarlo.

El señor es una mala persona.",35,328,648,Uribe
39,Álvaro Hernán Prada,@ALVAROHPRADA,2021-06-15T01:22:43.000Z,"#LaVerdadDeUribe 
@AlvaroUribeVel
 es un hombre frentero, que tomó decisiones a tiempo. Nos dio seguridad, generó confianza para inversión, creció la economía, bajó el índice de pobreza y de desempleo, aumentó el autoestima en nuestra Patria. 
@CeDemocratico",141,477,"1,1 mil",Uribe
40,Jaime Arizabaleta,@jarizabaletaf,2021-06-15T01:26:15.000Z,"La seguridad democrática fue una verdadera política de paz, antes de Uribe hubo 97 homicidios de maestros sindicalizados. 

Después de Uribe 21, se hubiera querido 0 pero se disminuyó en 78%

FECODE en vez de agradecer, adoctrina #LaVerdadDeUribe",16,197,395,Uribe
41,Sofy Casas,@SofyCasas_,2021-06-15T01:12:59.000Z,"""Aquí ha habido mucha acusación falsa para desacreditar a las Fuerzas Armadas” #LaVerdadDeUribe",8,42,144,Uribe
42,Emily Rivera Sanchez,@emilyriverasan,2021-06-15T00:57:39.000Z,"#LaVerdadDeUribe es la que todos deben escuchar sin sesgos políticos. Qué afán tan horrible el de hacer política con gente que ha muerto en casos desagradables. El presidente 
@AlvaroUribeVel
 siempre ha dado la cara, pidió perdón incluso a las madres de soacha.",1,15,43,Uribe
43,Einer Vargas,@EinerSteven,2021-06-15T00:49:54.000Z,"Mientras que #ElSeñor (
@JuanManSantos
) dió un discurso con base en mentiras y desaciertos, 
@AlvaroUribeVel
 entrega cifras y acciones ejecutadas! #LaVerdadDeUribe",16,191,468,Uribe
44,Daniel Ernesto Guevara-Durango,@Caniguevara1,2021-06-15T00:50:43.000Z,"@AlvaroUribeVel
: Si hay algun integrante de la fuerza pública que hubiera recibido mal ejemplo de mi parte, esta en mora decirlo. Y llevo 20 años lanzando ese reto. 

Que grande! 

#LaVerdadDeUribe",5,63,145,Uribe
45,Nicolás García,@NicolasGarciaUr,2021-06-15T00:52:33.000Z,"""La política de Seguridad Democrática era una cosa, los falsos positivos nada tienen que ver con ella (...) ahí hay es problemas de criminalidad"": 
@AlvaroUribeVel
 

#LaVerdadDeUribe",1,17,61,Uribe
46,Jaime Arizabaleta,@jarizabaletaf,2021-06-14T17:38:02.000Z,"En la noche estará el político más grande de la historia con la periodista más importante de Colombia. 

Imperdible 
@AlvaroUribeVel
 con 
@VickyDavilaH
 a las 7:00 Pm #LaVerdadDeUribe",146,876,"2,3 mil",Uribe
47,Jaime Arizabaleta,@jarizabaletaf,2021-06-15T00:52:53.000Z,"“La expresión de los sentimientos como el dolor y el perdón deben darse en los momentos oportunos para que sea genuino” 
@AlvaroUribeVel
 #LaVerdadDeUribe",26,241,615,Uribe
48,Jaime Arizabaleta,@jarizabaletaf,2021-06-15T00:45:42.000Z,"Santos no tuvo nada que ver en la liberación de Ingrid Betancourt, solo estuvo para darse la pantalla y recibirla. 

Se valió de esos éxitos para ser Presidente y luego despotricar al Gobierno que lo eligió #LaVerdadDeUribe",36,491,987,Uribe
